genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,title_norm
"[10749, 35]",39285,en,Beauty & the Briefcase,9.405,2010-04-18,Beauty & the Briefcase,5.5,250,2010,beauty the briefcase
"[18, 27, 9648, 53]",36419,en,After.Life,9.395,2009-11-07,After.Life,5.7,416,2009,afterlife
"[35, 18]",44009,en,Another Year,9.394,2010-12-29,Another Year,7.0,150,2010,another year
"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,2010-05-14,Letters to Juliet,6.9,1706,2010,letters to juliet
[18],27585,en,Rabbit Hole,9.389,2010-12-16,Rabbit Hole,6.8,292,2010,rabbit hole
"[28, 35]",44147,en,Wild Target,9.355,2010-10-29,Wild Target,6.4,356,2010,wild target
"[27, 18, 53]",38358,en,The Last Exorcism,9.35,2010-08-27,The Last Exorcism,5.6,519,2010,the last exorcism
"[53, 18]",43549,en,The Experiment,9.261000000000001,2010-07-15,The Experiment,6.5,553,2010,the experiment
"[16, 10751, 35]",50135,de,Konferenz der Tiere,9.258,2010-10-07,Animals United,5.4,151,2010,animals united
"[18, 28, 35, 53, 80]",26715,en,Bitch Slap,9.253,2010-01-08,Bitch Slap,4.7,148,2010,bitch slap
"[10749, 35]",41211,fr,L'arnacoeur,9.241,2010-09-10,Heartbreaker,6.6,761,2010,heartbreaker
"[18, 10751, 10749]",35690,en,The Last Song,9.237,2010-03-31,The Last Song,7.2,2199,2010,the last song
[35],48415,it,Benvenuti al sud,9.187999999999999,2010-12-20,Welcome to the South,6.7,1071,2010,welcome to the south
"[35, 27]",46838,en,Tucker and Dale vs. Evil,9.158999999999999,2010-01-22,Tucker and Dale vs. Evil,7.3,1427,2010,tucker and dale vs evil
"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,2010-12-17,Yogi Bear,5.3,387,2010,yogi bear
"[80, 18, 53]",38542,en,The Disappearance of Alice Creed,9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280,2010,the disappearance of alice creed
[18],36950,en,You Don't Know Jack,9.071,2010-04-14,You Don't Know Jack,7.0,176,2010,you dont know jack
[18],39486,en,Secretariat,9.059,2010-10-08,Secretariat,7.0,200,2010,secretariat
"[80, 18, 53]",27579,en,The American,9.042,2010-09-01,The American,5.8,690,2010,the american
"[18, 10749]",46705,en,Blue Valentine,8.994,2010-12-29,Blue Valentine,6.9,1677,2010,blue valentine
"[35, 27]",40264,en,Vampires Suck,8.992,2010-08-18,Vampires Suck,4.1,658,2010,vampires suck
"[18, 10752, 9648]",46738,fr,Incendies,8.972999999999999,2010-09-04,Incendies,8.1,1034,2010,incendies
"[28, 80, 18, 53]",22907,en,Takers,8.969,2010-08-26,Takers,6.2,605,2010,takers
"[16, 35, 878]",278604,en,"Family Guy Presents: Something, Something, Something, Dark Side",8.956,2010-05-23,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194,2010,family guy presents something something something dark side
"[28, 12, 16, 10751, 878]",45162,en,Superman/Batman: Apocalypse,8.884,2010-09-28,Superman/Batman: Apocalypse,7.0,291,2010,supermanbatman apocalypse
"[878, 28]",42684,en,Skyline,8.847000000000001,2010-11-12,Skyline,4.8,833,2010,skyline
"[28, 35, 80]",23742,en,Cop Out,8.82,2010-02-26,Cop Out,5.4,796,2010,cop out
"[18, 53, 9648]",28211,en,Chloe,8.807,2010-03-26,Chloe,5.9,940,2010,chloe
"[18, 27, 878]",52015,en,Stake Land,8.799,2010-10-01,Stake Land,6.2,415,2010,stake land
"[10752, 18, 36, 28]",50618,ru,Брестская крепость,8.769,2010-11-11,Fortress of War,7.3,75,2010,fortress of war
"[99, 10751]",59490,en,Cave of Forgotten Dreams,8.762,2010-11-03,Cave of Forgotten Dreams,7.3,143,2010,cave of forgotten dreams
"[12, 27, 53]",34480,en,The Descent: Part 2,8.741,2010-04-27,The Descent: Part 2,6.0,480,2010,the descent part 2
"[28, 12, 53]",44918,en,Titanic II,8.729,2010-08-24,Titanic 2,3.2,90,2010,titanic 2
"[28, 12, 16, 27]",31967,en,Dante's Inferno: An Animated Epic,8.711,2010-02-09,Dante's Inferno: An Animated Epic,6.0,102,2010,dantes inferno an animated epic
"[28, 80, 53]",37645,fr,L'Immortel,8.697000000000001,2010-03-24,22 Bullets,6.5,508,2010,22 bullets
[99],39452,en,Exit Through the Gift Shop,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467,2010,exit through the gift shop
"[18, 10749]",48650,es,Habitación en Roma,8.682,2010-11-11,Room in Rome,6.1,236,2010,room in rome
"[18, 10749]",42297,en,Burlesque,8.676,2010-11-23,Burlesque,7.1,1195,2010,burlesque
"[35, 18]",56272,en,Elektra Luxx,8.595,2010-03-14,Elektra Luxx,4.9,74,2010,elektra luxx
"[18, 53, 80]",68341,ja,冷たい熱帯魚,8.582,2010-07-05,Cold Fish,6.6,113,2010,cold fish
"[14, 18, 27, 10749]",52587,de,Wir sind die Nacht,8.57,2010-11-11,We Are the Night,6.2,129,2010,we are the night
