id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,profit_ratio,profit,year_x,title,studio,domestic_gross_y,foreign_gross,year_y,total_gross,budget_category
93,2015-10-09,Pan,150000000.0,35088320.0,151525973.0,1.0101731533333334,1525973.0,2015,Pan,WB,35100000.0,93300000.0,2015,128400000.0,High
94,2011-03-11,Mars Needs Moms,150000000.0,21392758.0,39549758.0,0.26366505333333334,-110450242.0,2011,Mars Needs Moms,BV,21400000.0,17600000.0,2011,39000000.0,High
97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,5.151181179310345,601921271.0,2012,Madagascar 3: Europe's Most Wanted,P/DW,216400000.0,530500000.0,2012,746900000.0,High
99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,4.238526,469586270.0,2014,How to Train Your Dragon 2,Fox,177000000.0,444500000.0,2014,621500000.0,High
1,2014-03-07,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,1.860734,124806430.0,2014,Mr. Peabody & Sherman,Fox,111500000.0,164200000.0,2014,275700000.0,High
2,2012-11-21,Rise of the Guardians,145000000.0,103412758.0,306900902.0,2.116557944827586,161900902.0,2012,Rise of the Guardians,P/DW,103400000.0,203500000.0,2012,306900000.0,High
10,2011-07-22,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,2.6469269714285715,230569776.0,2011,Captain America: The First Avenger,Par.,176700000.0,193900000.0,2011,370600000.0,High
11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,3.6971367285714285,377599142.0,2016,Kung Fu Panda 3,Fox,143500000.0,377600000.0,2016,521100000.0,High
13,2013-03-27,G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,2.6838621785714287,235740705.0,2013,G.I. Joe: Retaliation,Par.,122500000.0,253200000.0,2013,375700000.0,High
16,2014-12-12,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,1.9165322357142858,128314513.0,2014,Exodus: Gods and Kings,Fox,65000000.0,203200000.0,2014,268200000.0,High
17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,1.4260477142857142,59646680.0,2016,The BFG,BV,55500000.0,127900000.0,2016,183400000.0,High
18,2016-02-26,Gods of Egypt,140000000.0,31153464.0,138836756.0,0.9916911142857143,-1163244.0,2016,Gods of Egypt,LG/S,31200000.0,119500000.0,2016,150700000.0,High
26,2013-03-22,The Croods,135000000.0,187168425.0,573068425.0,4.244951296296296,438068425.0,2013,The Croods,Fox,187200000.0,400000000.0,2013,587200000.0,High
27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,3.947691125925926,397938302.0,2015,The Revenant,Fox,183600000.0,349300000.0,2015,532900000.0,High
29,2011-03-04,Rango,135000000.0,123477607.0,245724600.0,1.8201822222222221,110724600.0,2011,Rango,Par.,123500000.0,122200000.0,2011,245700000.0,High
31,2013-07-17,Turbo,135000000.0,83028130.0,286896578.0,2.125159837037037,151896578.0,2013,Turbo,Fox,83000000.0,199500000.0,2013,282500000.0,High
32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,1.8172472148148149,110328374.0,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82100000.0,163600000.0,2016,245700000.0,High
